PLY;Points
cell_27_19.ply;202
cell_27_20.ply;311
cell_27_21.ply;292
cell_27_22.ply;306
cell_27_23.ply;629
cell_27_24.ply;293
cell_27_25.ply;307
cell_27_26.ply;495
cell_27_27.ply;703
cell_27_28.ply;348
cell_27_29.ply;307
cell_27_30.ply;176
cell_27_31.ply;92
cell_27_32.ply;172
cell_27_33.ply;470
cell_27_34.ply;241
cell_27_35.ply;453
cell_27_36.ply;395
cell_27_37.ply;241
cell_27_38.ply;319
cell_28_16.ply;10
cell_28_17.ply;254
cell_28_18.ply;111
cell_28_19.ply;197
cell_28_20.ply;236
cell_28_21.ply;270
cell_28_22.ply;190
cell_28_23.ply;281
cell_28_24.ply;366
cell_28_25.ply;312
cell_28_26.ply;290
cell_28_27.ply;277
cell_28_28.ply;555
cell_28_29.ply;521
cell_28_30.ply;294
cell_28_31.ply;213
cell_28_32.ply;320
cell_28_33.ply;285
cell_28_34.ply;431
cell_28_35.ply;279
cell_28_36.ply;188
cell_28_37.ply;246
cell_28_38.ply;363
cell_29_19.ply;2
cell_29_20.ply;78
cell_29_21.ply;122
cell_29_22.ply;295
cell_29_23.ply;275
cell_29_24.ply;108
cell_29_25.ply;442
cell_29_26.ply;252
cell_29_27.ply;91
cell_29_28.ply;303
cell_29_29.ply;295
cell_29_30.ply;367
cell_29_31.ply;114
cell_29_32.ply;131
cell_29_33.ply;249
cell_29_34.ply;245
cell_29_35.ply;235
cell_29_36.ply;243
cell_29_37.ply;133
cell_29_38.ply;187
cell_30_22.ply;2
cell_30_23.ply;28
cell_30_24.ply;90
cell_30_25.ply;276
cell_30_26.ply;243
cell_30_27.ply;309
cell_30_28.ply;233
cell_30_29.ply;196
cell_30_30.ply;282
cell_30_31.ply;424
cell_30_32.ply;441
cell_30_33.ply;366
cell_30_34.ply;220
cell_30_35.ply;239
cell_30_36.ply;144
cell_30_37.ply;213
cell_30_38.ply;149
cell_31_26.ply;16
cell_31_27.ply;28
cell_31_28.ply;78
cell_31_29.ply;150
cell_31_30.ply;83
cell_31_31.ply;229
cell_31_32.ply;143
cell_31_33.ply;208
cell_31_34.ply;266
cell_31_35.ply;91
cell_31_36.ply;104
cell_31_37.ply;198
cell_31_38.ply;99
cell_32_29.ply;1
cell_32_30.ply;39
cell_32_31.ply;88
cell_32_32.ply;39
cell_32_33.ply;197
cell_32_34.ply;743
cell_32_35.ply;263
cell_32_36.ply;236
cell_32_37.ply;95
cell_32_38.ply;88
cell_33_32.ply;2
cell_33_33.ply;63
cell_33_34.ply;66
cell_33_35.ply;144
cell_33_36.ply;79
cell_33_37.ply;284
cell_33_38.ply;241
